Extension,Function
7z,"""Phishing"",""File Archiver"""
arj,"""Phishing"",""File Archiver"""
bz2,"""Phishing"",""Double Click"",""File Archiver"""
cab,"""Phishing"",""File Archiver"""
daa,"""Phishing"",""Executable"",""File Archiver"""
gadget,"""Phishing"",""Double Click"",""Executable"",""File Archiver"""
gz,"""Phishing"",""Double Click"",""File Archiver"""
rar,"""Phishing"",""File Archiver"""
tar,"""Phishing"",""Double Click"",""File Archiver"""
uue,"""Phishing"",""Double Click"",""File Archiver"""
vhd,"""File Archiver"""
vhdx,"""File Archiver"""
wim,"""Phishing"",""Executable"",""File Archiver"""
xz,"""Phishing"",""File Archiver"""
z,"""Phishing"",""File Archiver"""
zip,"""Phishing"",""Double Click"",""File Archiver"""
