pipe_name,metadata_description,metadata_tool,metadata_category,metadata_link,metadata_priority,metadata_fp_risk,metadata_severity,metadata_tool_type,metadata_usage,metadata_comment,metadata_reference
\$77childproc,Fileless ring 3 rootkit with installer and persistence that hides processes - files - network connections,77-rootkit,Persistence,https://github.com/bytecode77/r77-rootkit,critical,N/A,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/tree/main/tools/R-T/r77-rootkit
\$77childproc64,Fileless ring 3 rootkit with installer and persistence that hides processes - files - network connections,77-rootkit,Persistence,https://github.com/bytecode77/r77-rootkit,critical,N/A,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/tree/main/tools/R-T/r77-rootkit
\$77config,Fileless ring 3 rootkit with installer and persistence that hides processes - files - network connections,77-rootkit,Persistence,https://github.com/bytecode77/r77-rootkit,critical,N/A,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/tree/main/tools/R-T/r77-rootkit
\$77control,Fileless ring 3 rootkit with installer and persistence that hides processes - files - network connections,77-rootkit,Persistence,https://github.com/bytecode77/r77-rootkit/blob/e2faaf8b095239fc6522bd3a897a9e5d1f0cd79e/%24Examples/ControlPipe.cpp#L11,critical,N/A,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/tree/main/tools/R-T/r77-rootkit
\$77control_redirec,Fileless ring 3 rootkit with installer and persistence that hides processes - files - network connections,77-rootkit,Persistence,https://github.com/bytecode77/r77-rootkit,critical,N/A,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/tree/main/tools/R-T/r77-rootkit
\$77stager,Fileless ring 3 rootkit with installer and persistence that hides processes - files - network connections,77-rootkit,Persistence,https://github.com/bytecode77/r77-rootkit,critical,N/A,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/tree/main/tools/R-T/r77-rootkit
\$77svc32,Fileless ring 3 rootkit with installer and persistence that hides processes - files - network connections,77-rootkit,Persistence,https://github.com/bytecode77/r77-rootkit,critical,N/A,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/tree/main/tools/R-T/r77-rootkit
\$77svc64,Fileless ring 3 rootkit with installer and persistence that hides processes - files - network connections,77-rootkit,Persistence,https://github.com/bytecode77/r77-rootkit,critical,N/A,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/tree/main/tools/R-T/r77-rootkit
\[1428],CloudSorcerer APT backdoor module,CloudSorcerer,Malware,https://securelist.com/cloudsorcerer-new-apt-cloud-actor/113056/,high,medium,medium,offensive_tool,detection rule,N/A,https://github.com/mthcht/awesome-lists
\{0710880F-3A55-4A2D-AA67-1123384FD859},DLL backdoor that is used for network infection - accepts commands via this named pipe,DUQU 2.0,Malware,https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/07205202/The_Mystery_of_Duqu_2_0_a_sophisticated_cyberespionage_actor_returns.pdf,high,low,medium,offensive_tool,detection rule,N.A,https://github.com/mthcht/awesome-lists
\{57D2DE92-CE17-4A57-BFD7-CD3C6E965C6A},DLL backdoor that is used for network infection - accepts commands via this named pipe,DUQU 2.0,Malware,https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/07205202/The_Mystery_of_Duqu_2_0_a_sophisticated_cyberespionage_actor_returns.pdf,high,low,medium,offensive_tool,detection rule,N.A,https://github.com/mthcht/awesome-lists
\{6C51A4DB-E3DE4FEB-86A4-32F7F8E73B99},DLL backdoor that is used for network infection - accepts commands via this named pipe,DUQU 2.0,Malware,https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/07205202/The_Mystery_of_Duqu_2_0_a_sophisticated_cyberespionage_actor_returns.pdf,high,low,medium,offensive_tool,detection rule,N.A,https://github.com/mthcht/awesome-lists
\{7F9BCFC0-B36B-45EC-B377-D88597BE5D78},DLL backdoor that is used for network infection - accepts commands via this named pipe,DUQU 2.0,Malware,https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/07205202/The_Mystery_of_Duqu_2_0_a_sophisticated_cyberespionage_actor_returns.pdf,high,low,medium,offensive_tool,detection rule,N.A,https://github.com/mthcht/awesome-lists
\{AAFFC4F0-E04B-4C7C-B40A-B45DE971E81E},DLL backdoor that is used for network infection - accepts commands via this named pipe,DUQU 2.0,Malware,https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/07205202/The_Mystery_of_Duqu_2_0_a_sophisticated_cyberespionage_actor_returns.pdf,high,low,medium,offensive_tool,detection rule,N.A,https://github.com/mthcht/awesome-lists
\{AB6172ED-8105-4996-9D2A-597B5F827501},DLL backdoor that is used for network infection - accepts commands via this named pipe,DUQU 2.0,Malware,https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/07205202/The_Mystery_of_Duqu_2_0_a_sophisticated_cyberespionage_actor_returns.pdf,high,low,medium,offensive_tool,detection rule,N.A,https://github.com/mthcht/awesome-lists
\0029482318be6784,bumblebee malware,bumblebee,Malware,https://thedfirreport.com/2022/11/14/bumblebee-zeros-in-on-meterpreter/,critical,N/A,critical,offensive_tool,detection rule,N/A,https://thedfirreport.com/2022/11/14/bumblebee-zeros-in-on-meterpreter/
\1510ea,trickbot malware,trickbot,Malware,https://thedfirreport.com/2021/01/11/trickbot-still-alive-and-well/,high,medium,medium,offensive_tool,Hunting,N/A,https://thedfirreport.com/2021/01/11/trickbot-still-alive-and-well/
\2f1e5f214354r,Dyre infostealer Dyzap,Dyzap,Malware,https://docs.broadcom.com/doc/dyre-emerging-threat,critical,none,high,offensive_tool,detection rule,N/A,https://github.com/mthcht/awesome-lists
\334485,CobaltStrike Beacon Activity,CobaltStrike,C2,https://github.com/NextronSystems/APTSimulator/blob/9061d12d0474d971726c2fc08b395af1394fc74b/test-sets/cobaltstrike/cobaltstrike-simulation.bat#L46,critical,low,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv
\3obdw5e5w4,Dyre infostealer Dyzap,Dyzap,Malware,https://community.f5.com/kb/technicalarticles/dyre---no-rest-for-the-wicked/278457,critical,none,high,offensive_tool,detection rule,N/A,https://github.com/mthcht/awesome-lists
\461092,CobaltStrike Beacon Activity,CobaltStrike,C2,https://github.com/outflanknl/RedELK/blob/417793d467e031bb0ba253985054bdf1486a85cb/elkserver/mounts/sample-data/logs/cobaltstrike/logs/200330/10.1.4.10/beacon_22170412.log#L493,critical,low,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv
\46a676ab7f179e511e30dd2dc41bd388,project sauron apt,sauron,Malware,https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/07190156/The-ProjectSauron-APT_Technical_Analysis_KL.pdf,high,N/A,high,offensive_tool,detection rule,N/A,https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/07190156/The-ProjectSauron-APT_Technical_Analysis_KL.pdf
\583da945-62af-10e8-4902-a8f205c72b2e,SolarWinds SUNBURST malware,SUNBURST,Malware,https://www.fireeye.com/blog/threat-research/2020/12/evasive-attacker-leverages-solarwinds-supply-chain-compromises-with-sunburst-backdoor.html,critical,N/A,critical,offensive_tool,detection rule,N/A,https://www.fireeye.com/blog/threat-research/2020/12/evasive-attacker-leverages-solarwinds-supply-chain-compromises-with-sunburst-backdoor.html
\5e120a,meterpreter getsystem,meterpreter,C2,https://github.com/SigmaHQ/sigma/blob/7364ce00b1444802caaebefdccb6d8f6a92f1112/unsupported/windows/driver_load_meterpreter_or_cobaltstrike_getsystem_service_installation.yml#L23,critical,low,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/L-N/metasploit.csv
\66bee3,GetSystem in Meterpreter & Cobalt Strikes Beacon,CobaltStrike,C2,https://github.com/splunk/car/blob/5f74ab40c7e27accc38a5ee0fa664a68dbabc0cc/docs/analytics/CAR-2021-02-002/index.md?plain=1#L100,critical,low,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv
\6e7645c4-32c5-4fe3-aabf-e94c2f4370e7,LiquidSnake is a tool that allows operators to perform fileless lateral movement using WMI Event Subscriptions and GadgetToJScript,LiquidSnake,Lateral Movement,https://github.com/RiccardoAncarani/LiquidSnake/blob/d2175346393d2199efe99b362301ea86ef3ce7c6/CSharpNamedPipeLoader/CSharpNamedPipeLoader/Program.cs#L410,critical,N/A,critical,offensive_tool,detection rule,N/A,https://github.com/RiccardoAncarani/LiquidSnake/blob/d2175346393d2199efe99b362301ea86ef3ce7c6/CSharpNamedPipeLoader/CSharpNamedPipeLoader/Program.cs#L410
\7fd13a,bumblebee malware,bumblebee,Malware,https://thedfirreport.com/2022/11/14/bumblebee-zeros-in-on-meterpreter/,high,medium,medium,offensive_tool,Hunting,N/A,https://thedfirreport.com/2022/11/14/bumblebee-zeros-in-on-meterpreter/
\8e8988b257e9dd2ea44ff03d44d26467b7c9ec16,CobaltStrike_CNA CVE_2020_0787 ,CobaltStrike,Privilege Escalation,https://github.com/yanghaoi/CobaltStrike_CNA/blob/7134e77c410cdfdd9c4081ed2bc12b1e3291b1aa/PrivilegeEscalation/CVE_2020_0787.cna#L14,critical,N/A,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv
\9f81f59bc58452127884ce513865ed20,project sauron apt,sauron,Malware,https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/07190156/The-ProjectSauron-APT_Technical_Analysis_KL.pdf,high,N/A,high,offensive_tool,detection rule,N/A,https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/07190156/The-ProjectSauron-APT_Technical_Analysis_KL.pdf
\A09C7C26ED857C36,Cinmeng Trojan,Cinmeng,Malware,https://github.com/roadwy/DefenderYara/blob/9bbdb7f9fd3513ce30aa69cd1d88830e3cf596ca/Trojan/Win32/Cinmeng/Trojan_Win32_Cinmeng.yar#L21,critical,none,high,offensive_tool,detection rule,N/A,https://github.com/mthcht/awesome-lists
\acsipc_server,Agnitum Outpost Internet Security Local Privilege Escalation,metasploit,Privilege Escalation,https://github.com/rapid7/metasploit-framework/blob/ec5648f6c50fc0af779f3b2a3ac7afa9fdca9344/modules/exploits/windows/local/agnitum_outpost_acs.rb#L118,critical,N/A,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/L-N/metasploit.csv
\adprinterpipe,anydesk,anydesk,RMM,https://www.hybrid-analysis.com/sample/99dcdda32ee45835489890b3bcc273116bdcf6c263e0cf6f74542ea3d56b78a1/60e21d53d4e6ff722e5617e6,low,high,medium,greyware_tool,Hunting,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/anydesk.csv
\ahexec,HEUR:RemoteAdmin.Linux.Winexe.a (KASPERSKY),RemoteAdmin.Linux,Malware,https://www.trendmicro.com/vinfo/ae/threat-encyclopedia/malware/HackTool.Linux.WinExe.A/,high,N/A,high,greyware_tool,Hunting,N/A,https://www.trendmicro.com/vinfo/ae/threat-encyclopedia/malware/HackTool.Linux.WinExe.A/
\ahexec_stderr,HEUR:RemoteAdmin.Linux.Winexe.a (KASPERSKY),RemoteAdmin.Linux,Malware,https://www.trendmicro.com/vinfo/ae/threat-encyclopedia/malware/HackTool.Linux.WinExe.A/,high,N/A,high,greyware_tool,Hunting,N/A,https://www.trendmicro.com/vinfo/ae/threat-encyclopedia/malware/HackTool.Linux.WinExe.A/
\ahexec_stdin,HEUR:RemoteAdmin.Linux.Winexe.a (KASPERSKY),RemoteAdmin.Linux,Malware,https://www.trendmicro.com/vinfo/ae/threat-encyclopedia/malware/HackTool.Linux.WinExe.A/,high,N/A,high,greyware_tool,Hunting,N/A,https://www.trendmicro.com/vinfo/ae/threat-encyclopedia/malware/HackTool.Linux.WinExe.A/
\ahexec_stdout,HEUR:RemoteAdmin.Linux.Winexe.a (KASPERSKY),RemoteAdmin.Linux,Malware,https://www.trendmicro.com/vinfo/ae/threat-encyclopedia/malware/HackTool.Linux.WinExe.A/,high,N/A,high,greyware_tool,Hunting,N/A,https://www.trendmicro.com/vinfo/ae/threat-encyclopedia/malware/HackTool.Linux.WinExe.A/
\AmperageAIXSysRemove,enabling Recall in Windows 11 version 24H2 on unsupported devices,AmperageKit,Collection,https://github.com/thebookisclosed/AmperageKit/blob/6e6ef23c0d61aec38f3c1f00d9db53d92b42cc1e/Amperage/Program.cs#L283,high,none,medium,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/AmperageKit.csv
\AmperageHwReqDetour,enabling Recall in Windows 11 version 24H2 on unsupported devices,AmperageKit,Collection,https://github.com/thebookisclosed/AmperageKit/blob/6e6ef23c0d61aec38f3c1f00d9db53d92b42cc1e/Amperage/Program.cs#L283,high,none,medium,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/AmperageKit.csv
\atctl,RPC-Backdoor default pipe name,RPC-Backdoor,Persistence,https://github.com/eladshamir/RPC-Backdoor/blob/e564a4290ddec18144112559b56d8130b9db2c52/RpcServer/RpcServer.cpp#L317,medium,low,high,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/R-T/RPC-Backdoor.csv
\bizkaz,Snatch Ransomware,Snatch,Malware,https://thedfirreport.com/2020/06/21/snatch-ransomware/,critical,N/A,critical,offensive_tool,detection rule,N/A,https://thedfirreport.com/2020/06/21/snatch-ransomware/
\brutepipe,BruteRatel Pipe in sample,BruteRatel,C2,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/bruteratel.csv,critical,none,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/awesome-lists
\BuhphoneAgentAPIViewer,RemoteUtilities software,RemoteUtilities,RMM,https://www.remoteutilities.com/,high,low,high,greyware_tool,Hunting,executed by \Remote Utilities - Viewer\rutview.exe and \rutserv.exe,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/R-T/RemoteUtilities.csv
\bypassuac,cobaltstrike pipe names,CobaltStrike,C2,N/A,critical,low,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv
\C__WINDOWS_IEXPLORE.EXE,Trojan:Win32/Warece.C Defender signature,Warece,Malware,https://github.com/roadwy/DefenderYara/blob/9bbdb7f9fd3513ce30aa69cd1d88830e3cf596ca/Trojan/Win32/Warece/Trojan_Win32_Warece_C.yar#L10,critical,none,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/awesome-lists
\cachedumppipe,A Tool For Mass Password Auditing of Windows Systems,fgdump,Credential Access,https://github.com/ihamburglar/fgdump/blob/c883704e5e34d7aa8fce6fb0a0777df3ebb693ac/cachedump/cachedump.h#L7,critical,none,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/awesome-lists
\CHECKONE,Clop Ransomware Cryptinject,CryptInject,Ransomware,https://www.joesandbox.com/analysis/883539/0/html,critical,none,high,offensive_tool,detection rule,N/A,https://github.com/mthcht/awesome-lists
\client32_VistaPipe2,NetSupport Manager\client32.exe RMM usage,NetSupport,RMM,netsupportsoftware.com,high,low,high,greyware_tool,Hunting,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/L-N/NetSupport.csv
\client32_VistaUIPipe2,NetSupport Manager\client32.exe RMM usage,NetSupport,RMM,netsupportsoftware.com,high,low,high,greyware_tool,Hunting,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/L-N/NetSupport.csv
\comnap,cobra - The orchestrator creates two named pipes in order to communicate with stage 3 or to receive messages from an external machine,cobra,Malware,https://www.gdatasoftware.com/blog/2015/01/23926-analysis-of-project-cobra,high,N/A,high,offensive_tool,detection rule,N/A,https://www.gdatasoftware.com/blog/2015/01/23926-analysis-of-project-cobra
